id,name,uri,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
79UjqYt9MCLlBpzAvaKVJj,In Love With You,spotify:track:79UjqYt9MCLlBpzAvaKVJj,"Erykah Badu, ",0.583,0.722,0.274,0,0.173,-12.727,0.0696,132.505,0.647
2ExI2HJwAPqXs2eWfHb1uX,Falsa Baiana,spotify:track:2ExI2HJwAPqXs2eWfHb1uX,"Stan Getz, ",0.856,0.551,0.448,0.221,0.307,-11.286,0.0311,87.165,0.649
46ojXpU8hKUPFiDhBwUt6J,The Ingredients Of Love - Duet w/ Musiq Soulchild,spotify:track:46ojXpU8hKUPFiDhBwUt6J,"Angie Stone, Musiq Soulchild, ",0.26,0.514,0.737,0,0.222,-5.25,0.308,78.806,0.65
5aO3PDi7cfVyqSbXSrSxfx,Don't Tell Our Friends About Me,spotify:track:5aO3PDi7cfVyqSbXSrSxfx,"Blake Mills, ",0.65,0.74,0.559,0.00102,0.103,-8.077,0.0368,124.957,0.65
4GrOV18KKdZnc3jcfvMDgk,Leaf Off / The Cave,spotify:track:4GrOV18KKdZnc3jcfvMDgk,"José González, ",0.837,0.46,0.604,0.153,0.119,-8.303,0.0591,78.54,0.65
2M6VwLNz4eIlOph0xUF7lW,Escarole,spotify:track:2M6VwLNz4eIlOph0xUF7lW,"Cash Cash, ",0.00165,0.658,0.938,0.0379,0.851,-4.305,0.0589,124.956,0.653
0fFBRlw706hANaqydx0ujA,Ar Tu Jauti?,spotify:track:0fFBRlw706hANaqydx0ujA,"Saulės Kliošas, ",0.0744,0.815,0.644,0.414,0.0659,-7.966,0.0556,115.01,0.654
2gUSIsapdX6jEJ0DvjqTt2,Naked As We Came,spotify:track:2gUSIsapdX6jEJ0DvjqTt2,"Iron & Wine, ",0.629,0.367,0.208,0.0584,0.106,-16.734,0.0363,172.358,0.654
7xsktt3inEVSrjzPg5S0ce,CRZY,spotify:track:7xsktt3inEVSrjzPg5S0ce,"Kehlani, ",0.209,0.824,0.711,0.0000414,0.144,-7.279,0.222,130.027,0.659
0yO7Rg00ZJiMMb8pHiBojc,Samba de Orfeu,spotify:track:0yO7Rg00ZJiMMb8pHiBojc,"Luis Bonfa, Toots Thielemans, ",0.735,0.715,0.406,0.649,0.11,-17.926,0.0573,104.756,0.665
2dFEB7VbBPZzhb2LqIBZbH,Blue Spotted Tail,spotify:track:2dFEB7VbBPZzhb2LqIBZbH,"Fleet Foxes, ",0.903,0.501,0.0305,0.00141,0.108,-21.455,0.0417,89.721,0.665
26texh9kObRkrwNT1EREMs,Walk on By - Studio Rio Version,spotify:track:26texh9kObRkrwNT1EREMs,"Aretha Franklin, Studio Rio, ",0.641,0.746,0.519,0,0.0951,-6.29,0.0253,100.162,0.666
66dMATdBD3yBL8RjoGVuxf,Perfect Illusion,spotify:track:66dMATdBD3yBL8RjoGVuxf,"Lady Gaga, ",0.00163,0.615,0.854,0,0.358,-5.478,0.0388,124.992,0.672
6W2bTxfCjQSgQHwH2LgbGC,There’s Nothing Like This (feat. Pino Palladino),spotify:track:6W2bTxfCjQSgQHwH2LgbGC,"Omar, Pino Palladino, ",0.466,0.563,0.549,0.00302,0.369,-8.802,0.0587,155.75,0.673
5wezJDFwh4DjqCOkEgWwjs,Booty Bounce,spotify:track:5wezJDFwh4DjqCOkEgWwjs,"Tujamo, Taio Cruz, ",0.0235,0.738,0.983,0.0000067,0.125,-1.821,0.0549,128.006,0.674
7muWyt73NWsGW3aPV1YILN,Cloud 9 - Main,spotify:track:7muWyt73NWsGW3aPV1YILN,"Donnie, ",0.167,0.632,0.731,0,0.0305,-7.182,0.348,92.088,0.675
7qFexQbJ2Kjv9V5hMtK5Lh,Wait For the Moment,spotify:track:7qFexQbJ2Kjv9V5hMtK5Lh,"Vulfpeck, ",0.501,0.773,0.36,0.00409,0.0823,-9.722,0.0955,79.207,0.677
4wd09wCccmxUB7XVJp0RNn,"Jesus, etc.",spotify:track:4wd09wCccmxUB7XVJp0RNn,"Wilco, ",0.616,0.756,0.28,0.00033,0.414,-14.27,0.0296,109.413,0.678
7lDhAXTGe5LO9xSbq56t0K,Nice Work If You Can Get It,spotify:track:7lDhAXTGe5LO9xSbq56t0K,"Marcus Roberts, ",0.671,0.482,0.237,0.914,0.099,-21.34,0.104,202.3,0.681
2MrY7stBQmQu3qDTRAaF1f,Berimbau,spotify:track:2MrY7stBQmQu3qDTRAaF1f,"Maria Creuza, ",0.882,0.738,0.467,0.000148,0.0996,-10.249,0.0464,154.966,0.681
6LPmoKUMMNVHHTmkIxpJ6d,Piece Of Me,spotify:track:6LPmoKUMMNVHHTmkIxpJ6d,"MK, Becky Hill, ",0.00721,0.678,0.917,0,0.269,-2.318,0.0796,121.962,0.683
1Te8WIfLudxjHTr66BL0JK,Perfect Strangers,spotify:track:1Te8WIfLudxjHTr66BL0JK,"Jonas Blue, JP Cooper, ",0.375,0.738,0.812,0,0.276,-5.29,0.0495,118.004,0.684
6CDQBADsdzJwc3qZ3OPDHH,Almost Like Being in Love,spotify:track:6CDQBADsdzJwc3qZ3OPDHH,"Red Garland, Paul Chambers, Art Taylor, ",0.873,0.571,0.346,0.519,0.098,-12.569,0.0409,93.885,0.687
4ZKGarvWsSOruOaw40cFNz,Love That Girl,spotify:track:4ZKGarvWsSOruOaw40cFNz,"Raphael Saadiq, ",0.0136,0.71,0.674,0.0000173,0.0366,-5.393,0.0352,124.033,0.687
05qTeP4xG8KXoRhN2HdKjS,I Don't Know What I Can Save You From,spotify:track:05qTeP4xG8KXoRhN2HdKjS,"Kings of Convenience, ",0.938,0.619,0.284,0.774,0.123,-15.547,0.0286,91.943,0.687
2BhU0Hl5OatWiCW93pE2b8,Remember - 1999 Digital Remaster,spotify:track:2BhU0Hl5OatWiCW93pE2b8,"Hank Mobley, ",0.794,0.539,0.403,0.000613,0.278,-9.168,0.0531,165.301,0.688
5BUzXFDINXfB3VDh1BkmzL,The Runaround,spotify:track:5BUzXFDINXfB3VDh1BkmzL,"Peter Edwards Trio, ",0.487,0.539,0.305,0.846,0.105,-16.701,0.055,127.807,0.692
4D4lv6Qps2bdndqLPYBlqu,All Four Walls,spotify:track:4D4lv6Qps2bdndqLPYBlqu,"Gorgon City, Vaults, ",0.0176,0.578,0.855,0.0411,0.0734,-6.246,0.0362,123.975,0.693
0Eb3TL58Q9d0MUToLIcuAG,O Pato,spotify:track:0Eb3TL58Q9d0MUToLIcuAG,"Gilberto Gil, ",0.806,0.786,0.428,0.478,0.145,-12.116,0.0687,83.937,0.694
4bAmAVdks2Y84VNVVLXFwN,Show Me Love - EDX Remix / Radio Edit,spotify:track:4bAmAVdks2Y84VNVVLXFwN,"Sam Feldt, Kimberly Anne, ",0.287,0.596,0.666,0.000454,0.0733,-5.825,0.0943,117.057,0.694
